"YEAR","AMA","SECTOR","CATEGORY","PARENT WATER TYPE OR SECTOR","BUDGET ELEMENT","QUANTITY"
"1988","PHOENIX AMA","Indian","Incidental Recharge","","Incidental Recharge","125354"
"1987","TUCSON AMA","Municipal","Supply","Groundwater","Groundwater","125284"
"1991","PINAL AMA","Agricultural","Supply","Surface Water","Surface Water","124924"
"1995","PHOENIX AMA","Agricultural","Demand","Agricultural","Buckeye Waterlogged Area IGFRs","124231"
"2005","PHOENIX AMA","Agricultural","Supply","CAP","GSF (CAP)","124133"
"2012","PHOENIX AMA","Municipal","Demand","Municipal","Urban Irrigation","123961"
"1990","TUCSON AMA","Municipal","Supply","Groundwater","Groundwater","123646"
"2010","PINAL AMA","Agricultural","Supply","Surface Water","Surface Water","123584"
"2013","PHOENIX AMA","Municipal","Demand","Municipal","Urban Irrigation","123452"
"1987","PHOENIX AMA","Agricultural","Demand","Agricultural","Buckeye Waterlogged Area IGFRs","123210"
"2005","PINAL AMA","Agricultural","Supply","Surface Water","Surface Water","123010"
"1993","PINAL AMA","Agricultural","Incidental Recharge","","Incidental Recharge Total","122306"
"1990","PINAL AMA","Indian","Demand","Indian","Agricultural","122300"
"1996","PHOENIX AMA","Indian","Incidental Recharge","","Incidental Recharge","121990"
"1996","TUCSON AMA","Agricultural","Demand","Agricultural","Non-Exempt IGFRs","121834"
"2008","PHOENIX AMA","Municipal","Demand","Municipal","Urban Irrigation","121190"
"1986","PINAL AMA","Recharge","Natural","","Canal Seepage","121142"
"1992","TUCSON AMA","Municipal","Supply","Groundwater","Groundwater","120739"
"2009","PHOENIX AMA","Municipal","Demand","Municipal","Urban Irrigation","120601"
"1986","TUCSON AMA","Municipal","Supply","Groundwater","Groundwater","120410"
"1994","TUCSON AMA","Municipal","Supply","Groundwater","Groundwater","120305"
"1995","PHOENIX AMA","Agricultural","Supply","CAP","CAP","119829"
"1994","PHOENIX AMA","Indian","Incidental Recharge","","Incidental Recharge","119487"
"2010","PHOENIX AMA","Agricultural","Supply","CAP","GSF (CAP)","119200"
"1987","PHOENIX AMA","Indian","Incidental Recharge","","Incidental Recharge","118927"
"2003","PHOENIX AMA","Municipal","Supply","AWS Groundwater Accounting","Groundwater Allowance Pumping","118703"
"2000","PHOENIX AMA","Agricultural","Supply","CAP","CAP","118635"
"2010","PHOENIX AMA","Municipal","Demand","Municipal","Urban Irrigation","118592"
"1998","TUCSON AMA","Recharge","Natural","","Streambed Intermittent Average","118228"
"1988","PINAL AMA","Recharge","Natural","","Canal Seepage","118127"
"2009","PHOENIX AMA","Indian","Incidental Recharge","","Incidental Recharge","117752"
"2017","PHOENIX AMA","Municipal","Demand","Municipal","Large Provider Lost and Unaccounted for Water","117229"
"1996","PHOENIX AMA","Agricultural","Supply","CAP","GSF (CAP)","116945"
"2016","PHOENIX AMA","Indian","Supply","Surface Water","Surface Water","116834"
"2009","PINAL AMA","Agricultural","Supply","CAP","GSF (CAP)","116639"
"1995","PHOENIX AMA","Indian","Incidental Recharge","","Incidental Recharge","116512"
"2001","PINAL AMA","Agricultural","Supply","CAP","GSF (CAP)","116350"
"1986","PHOENIX AMA","Agricultural","Demand","Agricultural","Buckeye Waterlogged Area IGFRs","115130"
"1990","PHOENIX AMA","Indian","Supply","Groundwater","Groundwater","115066"
"1985","TUCSON AMA","Agricultural","Demand","Agricultural","Non-Exempt IGFRs","114879"
"2012","TUCSON AMA","Recharge","Natural","","Streambed Intermittent Average","114848"
"2009","PINAL AMA","Agricultural","Supply","Surface Water","Surface Water","114711"
"2009","TUCSON AMA","Municipal","Supply","CAP","Recovered CAP","114211"
"2010","TUCSON AMA","Municipal","Supply","CAP","Recovered CAP","114084"
"1990","PHOENIX AMA","Agricultural","Demand","Agricultural","Buckeye Waterlogged Area IGFRs","114066"
"2010","PHOENIX AMA","Recharge","Natural","","Streambed Actual","113858"
"2011","TUCSON AMA","Municipal","Supply","CAP","Recovered CAP","113787"
"2017","PINAL AMA","Agricultural","Supply","CAP","GSF (CAP)","113607"
"1986","TUCSON AMA","Recharge","Natural","","Streambed Intermittent Average","113599"
"2005","PHOENIX AMA","Municipal","Supply","AWS Groundwater Accounting","Groundwater Allowance Pumping","113555"
"1991","PHOENIX AMA","Agricultural","Demand","Agricultural","Buckeye Waterlogged Area IGFRs","113552"
"2003","PHOENIX AMA","Agricultural","Supply","Surface Water","Surface Water","113511"
"1995","PINAL AMA","Recharge","Natural","","Canal Seepage","113440"
"2017","TUCSON AMA","Municipal","Supply","CAP","Recovered CAP","113333"
"1989","TUCSON AMA","Agricultural","Demand","Agricultural","Non-Exempt IGFRs","113326"
"2003","TUCSON AMA","Municipal","Supply","Groundwater","Groundwater","113095"
"1985","TUCSON AMA","Municipal","Supply","Groundwater","Groundwater","113080"
"1992","TUCSON AMA","Recharge","Natural","","Streambed Intermittent Average","113067"
"2012","TUCSON AMA","Municipal","Supply","CAP","Recovered CAP","112756"
"2005","TUCSON AMA","Recharge","Natural","","Streambed Intermittent Average","112548"
"2007","PINAL AMA","Agricultural","Supply","Surface Water","Surface Water","112482"
"2004","PHOENIX AMA","Indian","Supply","Surface Water","Surface Water","112415"
"1993","PHOENIX AMA","Municipal","Supply","Spill","Spill","112138"
"1998","PHOENIX AMA","Agricultural","Supply","CAP","GSF (CAP)","112016"
"1986","PHOENIX AMA","Indian","Incidental Recharge","","Incidental Recharge","111688"
"2015","PHOENIX AMA","Municipal","Demand","Municipal","Large Provider Lost and Unaccounted for Water","111630"
"1993","PHOENIX AMA","Municipal","Supply","CAP","CAP","111471"
"2016","PHOENIX AMA","Indian","Incidental Recharge","","Incidental Recharge","111428"
"1985","TUCSON AMA","Agricultural","Supply","Groundwater","Groundwater","111333"
"2008","TUCSON AMA","Agricultural","Demand","Agricultural","Non-Exempt IGFRs","110874"
"2005","PINAL AMA","Municipal","Population","Municipal","Large Municipal Provider Population","110758"
"2017","PINAL AMA","Agricultural","Supply","Surface Water","Surface water","110645"
"2015","PHOENIX AMA","Indian","Incidental Recharge","","Incidental Recharge","110061"
"1985","PINAL AMA","Recharge","Natural","","Canal Seepage","109955"
"2012","PHOENIX AMA","Indian","Incidental Recharge","","Incidental Recharge","109832"
"2017","PHOENIX AMA","Recharge","Natural","","Streambed Actual","109829"
"2005","PINAL AMA","Agricultural","Supply","CAP","GSF (CAP)","109426"
"2002","TUCSON AMA","Municipal","Demand","Municipal","Large Provider Residential Deliveries","109078"
"2013","TUCSON AMA","Municipal","Supply","CAP","Recovered CAP","108997"
"1992","PHOENIX AMA","Indian","Incidental Recharge","","Incidental Recharge","108833"
"1989","TUCSON AMA","Agricultural","Supply","Groundwater","Groundwater","108808"
"1994","PINAL AMA","Recharge","Natural","","Canal Seepage","108531"
"2008","PHOENIX AMA","Recharge","Natural","","Streambed Actual","108488"
"2006","TUCSON AMA","Municipal","Demand","Municipal","Large Provider Residential Deliveries","108406"
"2004","TUCSON AMA","Municipal","Demand","Municipal","Large Provider Residential Deliveries","108396"
"2018","TUCSON AMA","Municipal","Supply","CAP","Recovered CAP","108295"
"2014","TUCSON AMA","Municipal","Supply","CAP","Recovered CAP","108219"
"1991","TUCSON AMA","Recharge","Natural","","Streambed Intermittent Average","108114"
"2007","TUCSON AMA","Municipal","Demand","Municipal","Large Provider Residential Deliveries","108057"
"2010","PHOENIX AMA","Indian","Incidental Recharge","","Incidental Recharge","108049"
"2005","TUCSON AMA","Municipal","Demand","Municipal","Large Provider Residential Deliveries","108048"
"2003","TUCSON AMA","Municipal","Demand","Municipal","Large Provider Residential Deliveries","107997"
"1997","PINAL AMA","Agricultural","Supply","Surface Water","Surface Water","107919"
"2018","PHOENIX AMA","Municipal","Supply","Effluent","Effluent","107797"
"2007","TUCSON AMA","Municipal","Supply","CAP","Recovered CAP","107695"
"2014","PHOENIX AMA","Municipal","Demand","Municipal","Large Provider Lost and Unaccounted for Water","107633"
"2013","TUCSON AMA","Agricultural","Demand","Agricultural","Non-Exempt IGFRs","107502"
"2013","PHOENIX AMA","Municipal","Demand","Municipal","Large Provider Lost and Unaccounted for Water","107328"
"2014","PHOENIX AMA","Indian","Incidental Recharge","","Incidental Recharge","107029"
"2004","TUCSON AMA","Agricultural","Demand","Agricultural","Non-Exempt IGFRs","106963"
"2011","PHOENIX AMA","Indian","Incidental Recharge","","Incidental Recharge","106903"
"1989","PHOENIX AMA","Indian","Supply","Groundwater","Groundwater","106868"
"2009","TUCSON AMA","Municipal","Demand","Municipal","Large Provider Residential Deliveries","106832"
"1988","TUCSON AMA","Agricultural","Demand","Agricultural","Non-Exempt IGFRs","106676"
"1988","PHOENIX AMA","Indian","Supply","Groundwater","Groundwater","106635"
"1995","TUCSON AMA","Recharge","Natural","","Streambed Intermittent Average","106598"
"2002","TUCSON AMA","Municipal","Supply","AWS Groundwater Accounting","Groundwater Allowance Pumping","106370"
"2015","TUCSON AMA","Municipal","Supply","CAP","Recovered CAP","106054"
"2012","TUCSON AMA","Agricultural","Demand","Agricultural","Non-Exempt IGFRs","106042"
"2003","PHOENIX AMA","Agricultural","Supply","CAP","CAP","105953"
"1993","PHOENIX AMA","Agricultural","Demand","Agricultural","Buckeye Waterlogged Area IGFRs","105904"
"1997","PHOENIX AMA","Indian","Incidental Recharge","","Incidental Recharge","105236"
"2008","TUCSON AMA","Municipal","Demand","Municipal","Large Provider Residential Deliveries","105053"
"2016","TUCSON AMA","Municipal","Supply","CAP","Recovered CAP","105046"
"1989","PHOENIX AMA","Municipal","Supply","CAP","CAP","105013"
"2007","PHOENIX AMA","Industrial","Supply","Groundwater","Groundwater","104820"
"1991","PHOENIX AMA","Indian","Incidental Recharge","","Incidental Recharge","104813"
"2006","PHOENIX AMA","Agricultural","Supply","CAP","GSF (CAP)","104640"
"2005","PHOENIX AMA","Recharge","Natural","","Streambed Actual","104619"
"1987","TUCSON AMA","Agricultural","Demand","Agricultural","Non-Exempt IGFRs","104294"
"2016","PHOENIX AMA","Recharge","Natural","","Streambed Actual","104055"
"2007","PHOENIX AMA","Recharge","Natural","","Streambed Actual","104042"
"1993","PHOENIX AMA","Indian","Incidental Recharge","","Incidental Recharge","103984"
"2017","PHOENIX AMA","Indian","Incidental Recharge","","Incidental Recharge","103973"
"2008","TUCSON AMA","Municipal","Supply","CAP","Recovered CAP","103548"
"2017","TUCSON AMA","Agricultural","Demand","Agricultural","Non-Exempt IGFRs","103351"
"2013","PHOENIX AMA","Indian","Incidental Recharge","","Incidental Recharge","103345"
"2014","PHOENIX AMA","Indian","Supply","Surface Water","Surface Water","103302"
"2014","PINAL AMA","Agricultural","Supply","CAP","GSF (CAP)","103117"
"1988","TUCSON AMA","Agricultural","Supply","Groundwater","Groundwater","103104"
"1986","TUCSON AMA","Agricultural","Demand","Agricultural","Non-Exempt IGFRs","102910"
"2009","PHOENIX AMA","Recharge","Natural","","Streambed Actual","102906"
"2003","PHOENIX AMA","Indian","Supply","Surface Water","Surface Water","102797"
"2001","TUCSON AMA","Municipal","Supply","AWS Groundwater Accounting","Groundwater Allowance Pumping","102605"
"1996","TUCSON AMA","Agricultural","Supply","Groundwater","Groundwater","102497"
"1985","PHOENIX AMA","Agricultural","Demand","Agricultural","Buckeye Waterlogged Area IGFRs","102296"
"1989","PINAL AMA","Recharge","Natural","","Canal Seepage","102129"
"2014","TUCSON AMA","Agricultural","Demand","Agricultural","Non-Exempt IGFRs","102116"
"1998","PHOENIX AMA","Indian","Incidental Recharge","","Incidental Recharge","102060"
"2008","PINAL AMA","Recharge","Natural","","Canal Seepage","102023"
"2000","TUCSON AMA","Municipal","Demand","Municipal","Large Provider Residential Deliveries","101961"
"2001","TUCSON AMA","Municipal","Demand","Municipal","Large Provider Residential Deliveries","101874"
"2015","PHOENIX AMA","Recharge","Natural","","Streambed Actual","101644"
"2003","TUCSON AMA","Agricultural","Demand","Agricultural","Non-Exempt IGFRs","101643"
"2005","PHOENIX AMA","Indian","Incidental Recharge","","Incidental Recharge","101518"
"2001","PINAL AMA","Agricultural","Supply","Surface Water","Surface Water","101430"
"2011","PHOENIX AMA","Recharge","Natural","","Streambed Actual","101342"
"2018","PHOENIX AMA","Indian","Supply","Groundwater","Groundwater","101341"
"2012","PHOENIX AMA","Recharge","Natural","","Streambed Actual","101146"
"1987","TUCSON AMA","Agricultural","Supply","Groundwater","Groundwater","100874"
"2004","PHOENIX AMA","Municipal","Demand","Municipal","Urban Irrigation","100757"
"2010","TUCSON AMA","Municipal","Demand","Municipal","Large Provider Residential Deliveries","100603"
"2012","PHOENIX AMA","Municipal","Demand","Municipal","Large Provider Lost and Unaccounted for Water","100578"
"2018","PRESCOTT AMA","Municipal","Population","Municipal","Large Municipal Provider Population","100387"
"2007","TUCSON AMA","Agricultural","Demand","Agricultural","Non-Exempt IGFRs","100332"
"1992","PHOENIX AMA","Agricultural","Demand","Agricultural","Buckeye Waterlogged Area IGFRs","100296"
"1989","PHOENIX AMA","Agricultural","Supply","CAP","CAP","100228"
"1987","PINAL AMA","Recharge","Natural","","Canal Seepage","100050"
"2000","TUCSON AMA","Agricultural","Demand","Agricultural","Non-Exempt IGFRs","100006"
"2011","TUCSON AMA","Agricultural","Demand","Agricultural","Non-Exempt IGFRs","99957"
"2000","PINAL AMA","Agricultural","Supply","CAP","GSF (CAP)","99908"
"2016","TUCSON AMA","Agricultural","Demand","Agricultural","Non-Exempt IGFRs","99907"
"1986","TUCSON AMA","Agricultural","Supply","Groundwater","Groundwater","99808"
"2013","PHOENIX AMA","Indian","Supply","Groundwater","Groundwater","99716"
"2016","PINAL AMA","Agricultural","Supply","CAP","GSF (CAP)","99312"
"2011","TUCSON AMA","Municipal","Demand","Municipal","Large Provider Residential Deliveries","99274"
"2007","PHOENIX AMA","Indian","Incidental Recharge","","Incidental Recharge","99147"
"2009","TUCSON AMA","Agricultural","Demand","Agricultural","Non-Exempt IGFRs","99072"
"2008","PHOENIX AMA","Indian","Incidental Recharge","","Incidental Recharge","98877"
"2005","TUCSON AMA","Municipal","Supply","Groundwater","Groundwater","98811"
"1997","TUCSON AMA","Municipal","Demand","Municipal","Large Provider Residential Deliveries","98769"
"2015","PHOENIX AMA","Indian","Supply","Groundwater","Groundwater","98520"
"1994","TUCSON AMA","Agricultural","Demand","Agricultural","Non-Exempt IGFRs","98246"
"2017","PRESCOTT AMA","Municipal","Population","Municipal","Large Municipal Provider Population","98209"
"1995","PHOENIX AMA","Recharge","Natural","","Streambed Actual","97736"
"1996","TUCSON AMA","Municipal","Demand","Municipal","Large Provider Residential Deliveries","97572"
"2015","TUCSON AMA","Agricultural","Demand","Agricultural","Non-Exempt IGFRs","97537"
"1997","TUCSON AMA","Agricultural","Supply","Groundwater","Groundwater","97525"
"2004","TUCSON AMA","Municipal","Supply","Groundwater","Groundwater","97522"
"2004","PINAL AMA","Municipal","Population","Municipal","Large Municipal Provider Population","97470"
"2018","PHOENIX AMA","Industrial","Demand","Industrial","Power Generation Facilities","97264"
"1999","TUCSON AMA","Municipal","Demand","Municipal","Large Provider Residential Deliveries","97191"
"2016","PRESCOTT AMA","Municipal","Population","Municipal","Large Municipal Provider Population","97098"
"1986","PHOENIX AMA","Indian","Supply","Groundwater","Groundwater","97093"
"1999","PHOENIX AMA","Agricultural","Supply","CAP","CAP","97088"
"1995","TUCSON AMA","Agricultural","Demand","Agricultural","Non-Exempt IGFRs","96943"
"2003","TUCSON AMA","Recharge","Natural","","Streambed Intermittent Average","96683"
"2001","PHOENIX AMA","Indian","Incidental Recharge","","Incidental Recharge","96383"
"1998","PHOENIX AMA","Recharge","Natural","","Streambed Actual","96341"
"2010","PHOENIX AMA","Municipal","Demand","Municipal","Large Provider Lost and Unaccounted for Water","96287"
"2006","TUCSON AMA","Municipal","Supply","Groundwater","Groundwater","96251"
"2010","PHOENIX AMA","Industrial","Supply","Groundwater","Groundwater","96202"
"2013","PHOENIX AMA","Indian","Supply","Surface Water","Surface Water","96041"
"2012","TUCSON AMA","Municipal","Demand","Municipal","Large Provider Residential Deliveries","95940"
"2005","TUCSON AMA","Agricultural","Demand","Agricultural","Non-Exempt IGFRs","95848"
"1992","PHOENIX AMA","Recharge","Natural","","Streambed Actual","95839"
"2008","PHOENIX AMA","Industrial","Supply","Groundwater","Groundwater","95826"
"2018","PHOENIX AMA","Industrial","Supply","Groundwater","Groundwater","95807"
"2016","PHOENIX AMA","Indian","Supply","Groundwater","Groundwater","95598"
"2015","PRESCOTT AMA","Municipal","Population","Municipal","Large Municipal Provider Population","95327"
"2013","TUCSON AMA","Municipal","Demand","Municipal","Large Provider Residential Deliveries","95290"
"1999","PHOENIX AMA","Municipal","Demand","Municipal","Large Provider Lost and Unaccounted for Water","95229"
"1990","TUCSON AMA","Recharge","Natural","","Streambed Intermittent Average","94773"
"1987","PHOENIX AMA","Indian","Supply","Groundwater","Groundwater","94658"
"2014","PHOENIX AMA","Indian","Supply","Groundwater","Groundwater","94624"
"2014","TUCSON AMA","Municipal","Demand","Municipal","Large Provider Residential Deliveries","94528"
"1998","TUCSON AMA","Agricultural","Demand","Agricultural","Non-Exempt IGFRs","94394"
"1998","TUCSON AMA","Municipal","Demand","Municipal","Large Provider Residential Deliveries","94368"
"2009","PRESCOTT AMA","Municipal","Population","Municipal","Large Municipal Provider Population","94365"
"1987","TUCSON AMA","Recharge","Natural","","Streambed Intermittent Average","94235"
"2006","PHOENIX AMA","Indian","Incidental Recharge","","Incidental Recharge","94199"
"2002","PHOENIX AMA","Indian","Incidental Recharge","","Incidental Recharge","93990"
"2005","PHOENIX AMA","Indian","Supply","Groundwater","Groundwater","93982"
"2018","TUCSON AMA","Agricultural","Demand","Agricultural","Non-Exempt IGFRs","93927"
"2002","PHOENIX AMA","Municipal","Supply","AWS Groundwater Accounting","Groundwater Allowance Pumping","93922"
"2013","PHOENIX AMA","Industrial","Demand","Industrial","Drainage and Dewatering Permits","93824"
"2002","PHOENIX AMA","Industrial","Supply","Groundwater","Groundwater","93773"
"1998","PHOENIX AMA","Agricultural","Supply","CAP","CAP","93767"
"2014","PHOENIX AMA","Industrial","Demand","Industrial","Power Generation Facilities","93701"
"2016","PHOENIX AMA","Industrial","Demand","Industrial","Power Generation Facilities","93562"
"2008","PRESCOTT AMA","Municipal","Population","Municipal","Large Municipal Provider Population","93561"
"1995","TUCSON AMA","Municipal","Demand","Municipal","Large Provider Residential Deliveries","93443"
"2014","PRESCOTT AMA","Municipal","Population","Municipal","Large Municipal Provider Population","93389"
"2011","PHOENIX AMA","Industrial","Supply","Groundwater","Groundwater","93253"
"2017","PHOENIX AMA","Industrial","Demand","Industrial","Power Generation Facilities","93205"
"2015","PHOENIX AMA","Industrial","Demand","Industrial","Power Generation Facilities","93184"
"2004","PHOENIX AMA","Recharge","Natural","","Streambed Actual","93178"
"1994","TUCSON AMA","Agricultural","Supply","Groundwater","Groundwater","93176"
"1999","TUCSON AMA","Agricultural","Demand","Agricultural","Non-Exempt IGFRs","93071"
"2017","PHOENIX AMA","Industrial","Supply","Groundwater","Groundwater","93057"
"2012","PHOENIX AMA","Industrial","Supply","Groundwater","Groundwater","92826"
"2000","PHOENIX AMA","Recharge","Natural","","Streambed Actual","92785"
"2006","PHOENIX AMA","Recharge","Natural","","Streambed Actual","92673"
"1993","PINAL AMA","Recharge","Natural","","Canal Seepage","92644"
"2018","PHOENIX AMA","Indian","Supply","Surface Water","Surface Water","92613"
"2007","PRESCOTT AMA","Municipal","Population","Municipal","Large Municipal Provider Population","92457"
"2007","PHOENIX AMA","Municipal","Demand","Municipal","Large Provider Lost and Unaccounted for Water","92312"
"2002","TUCSON AMA","Agricultural","Demand","Agricultural","Non-Exempt IGFRs","92308"
"2013","PRESCOTT AMA","Municipal","Population","Municipal","Large Municipal Provider Population","92230"
"1992","PHOENIX AMA","Municipal","Supply","CAP","CAP","92223"
"2007","TUCSON AMA","Recharge","Natural","","Streambed Intermittent Average","92204"
"2000","PHOENIX AMA","Indian","Incidental Recharge","","Incidental Recharge","91746"
"2013","PHOENIX AMA","Industrial","Demand","Industrial","Power Generation Facilities","91665"
"2003","PHOENIX AMA","Indian","Incidental Recharge","","Incidental Recharge","91574"
"2017","TUCSON AMA","Municipal","Demand","Municipal","Large Provider Residential Deliveries","91440"
"1994","PHOENIX AMA","Recharge","Natural","","Streambed Actual","91412"
"1994","TUCSON AMA","Recharge","Natural","","Streambed Intermittent Average","91285"
"1997","PHOENIX AMA","Municipal","Demand","Municipal","Large Provider Lost and Unaccounted for Water","91280"
"1991","PHOENIX AMA","Indian","Supply","Groundwater","Groundwater","91135"
"2004","PHOENIX AMA","Indian","Incidental Recharge","","Incidental Recharge","91120"
"1994","TUCSON AMA","Municipal","Demand","Municipal","Large Provider Residential Deliveries","91044"
"2012","PRESCOTT AMA","Municipal","Population","Municipal","Large Municipal Provider Population","90961"
"2016","PHOENIX AMA","Industrial","Supply","Groundwater","Groundwater","90884"
"2012","PHOENIX AMA","Industrial","Demand","Industrial","Power Generation Facilities","90814"
"2011","TUCSON AMA","Recharge","Natural","","Streambed Intermittent Average","90807"
"2011","PHOENIX AMA","Industrial","Demand","Industrial","Power Generation Facilities","90708"
"2009","PHOENIX AMA","Industrial","Demand","Industrial","Power Generation Facilities","90673"
"2018","TUCSON AMA","Municipal","Demand","Municipal","Large Provider Residential Deliveries","90510"
"2011","PRESCOTT AMA","Municipal","Population","Municipal","Large Municipal Provider Population","90479"
"2002","PHOENIX AMA","Indian","Supply","Surface Water","Surface Water","90430"
"2016","TUCSON AMA","Municipal","Demand","Municipal","Large Provider Residential Deliveries","90294"
"1998","PINAL AMA","Recharge","Natural","","Canal Seepage","90156"
"2010","PRESCOTT AMA","Municipal","Population","Municipal","Large Municipal Provider Population","90126"
"2010","PHOENIX AMA","Industrial","Demand","Industrial","Power Generation Facilities","89985"
"1999","PHOENIX AMA","Recharge","Natural","","Streambed Actual","89675"
"2003","PINAL AMA","Municipal","Population","Municipal","Large Municipal Provider Population","89635"
"2015","TUCSON AMA","Municipal","Demand","Municipal","Large Provider Residential Deliveries","89617"
"2018","PHOENIX AMA","Agricultural","Supply","Surface Water","Surface Water","89262"
"2006","PRESCOTT AMA","Municipal","Population","Municipal","Large Municipal Provider Population","89150"
"1994","PINAL AMA","Recharge","Natural","","Groundwater Inflow","89091"
"1996","PINAL AMA","Recharge","Natural","","Groundwater Inflow","89074"
"1996","PHOENIX AMA","Municipal","Demand","Municipal","Large Provider Lost and Unaccounted for Water","88987"
"2009","PHOENIX AMA","Industrial","Supply","Groundwater","Groundwater","88696"
"2006","PINAL AMA","Agricultural","Supply","Surface Water","Surface Water","88653"
"1987","PINAL AMA","Indian","Demand","Indian","Agricultural","88580"
"1991","TUCSON AMA","Agricultural","Demand","Agricultural","Non-Exempt IGFRs","88508"
"2015","PHOENIX AMA","Industrial","Supply","Groundwater","Groundwater","88340"
"1995","PINAL AMA","Recharge","Natural","","Groundwater Inflow","88211"
"2003","PHOENIX AMA","Industrial","Supply","Groundwater","Groundwater","87933"
"2012","PINAL AMA","Indian","Supply","CAP","CAP","87925"
"2010","TUCSON AMA","Recharge","Natural","","Streambed Intermittent Average","87766"
"2008","TUCSON AMA","Recharge","Natural","","Streambed Intermittent Average","87745"
"1993","PINAL AMA","Recharge","Natural","","Groundwater Inflow","87720"
"1999","PHOENIX AMA","Indian","Incidental Recharge","","Incidental Recharge","87490"
"1997","PINAL AMA","Recharge","Natural","","Groundwater Inflow","87481"
"2013","PHOENIX AMA","Industrial","Supply","Groundwater","Groundwater","87370"
"2006","TUCSON AMA","Agricultural","Demand","Agricultural","Non-Exempt IGFRs","87326"
"1993","TUCSON AMA","Municipal","Supply","Groundwater","Groundwater","87325"
"2002","PHOENIX AMA","Municipal","Demand","Municipal","Large Provider Lost and Unaccounted for Water","87277"
"2010","TUCSON AMA","Agricultural","Demand","Agricultural","Non-Exempt IGFRs","86950"
"2005","PINAL AMA","Recharge","Natural","","Canal Seepage","86850"
"1991","PHOENIX AMA","Agricultural","Supply","Spill","Spill","86603"
"2006","PHOENIX AMA","Industrial","Supply","Groundwater","Groundwater","86556"
"2013","PINAL AMA","Indian","Supply","CAP","CAP","86413"
"2001","TUCSON AMA","Agricultural","Demand","Agricultural","Non-Exempt IGFRs","86331"
"1990","TUCSON AMA","Agricultural","Demand","Agricultural","Non-Exempt IGFRs","86217"
"1993","TUCSON AMA","Municipal","Demand","Municipal","Large Provider Residential Deliveries","86067"
"2018","PHOENIX AMA","Industrial","Supply","Effluent","Effluent","86053"
"2016","PHOENIX AMA","Industrial","Supply","Effluent","Effluent","86046"
"1995","PINAL AMA","Recharge","Natural","","Streambed Actual","85969"
"1988","PHOENIX AMA","Agricultural","Supply","CAP","CAP","85856"
"1988","PINAL AMA","Recharge","Natural","","Groundwater Inflow","85678"
"1989","TUCSON AMA","Municipal","Demand","Municipal","Large Provider Residential Deliveries","85652"
"2015","PINAL AMA","Agricultural","Supply","Surface Water","Surface Water","85477"
"1991","TUCSON AMA","Agricultural","Supply","Groundwater","Groundwater","85461"
"1989","PINAL AMA","Recharge","Natural","","Groundwater Inflow","85454"
"2006","PINAL AMA","Recharge","Natural","","Canal Seepage","85278"
"2017","PHOENIX AMA","Indian","Supply","Groundwater","Groundwater","85259"
"1998","PINAL AMA","Recharge","Natural","","Groundwater Inflow","85124"
"1995","TUCSON AMA","Agricultural","Supply","Groundwater","Groundwater","85005"
"1987","PINAL AMA","Recharge","Natural","","Groundwater Inflow","84998"
"2017","PHOENIX AMA","Industrial","Supply","Effluent","Effluent","84985"
"1992","PHOENIX AMA","Agricultural","Supply","CAP","GSF (CAP)","84981"
"2007","PHOENIX AMA","Industrial","Demand","Industrial","Power Generation Facilities","84892"
"2004","PINAL AMA","Recharge","Natural","","Groundwater Inflow","84845"
"1992","TUCSON AMA","Agricultural","Demand","Agricultural","Non-Exempt IGFRs","84837"
"2009","PHOENIX AMA","Municipal","Demand","Municipal","Large Provider Lost and Unaccounted for Water","84822"
"1992","PINAL AMA","Recharge","Natural","","Canal Seepage","84814"
"2003","PHOENIX AMA","Recharge","Natural","","Canal Seepage","84662"
"1985","PINAL AMA","Recharge","Natural","","Groundwater Inflow","84615"
"1993","TUCSON AMA","Agricultural","Demand","Agricultural","Non-Exempt IGFRs","84499"
"2000","PINAL AMA","Recharge","Natural","","Groundwater Inflow","84429"
"2002","PHOENIX AMA","Agricultural","Supply","CAP","CAP","84412"
"2005","PRESCOTT AMA","Municipal","Population","Municipal","Large Municipal Provider Population","84114"
"2008","TUCSON AMA","Agricultural","Supply","Groundwater","Groundwater","84038"
"2003","TUCSON AMA","Agricultural","Supply","Groundwater","Groundwater","84031"
"1991","PINAL AMA","Recharge","Natural","","Groundwater Inflow","83981"
"1999","PINAL AMA","Recharge","Natural","","Groundwater Inflow","83928"
"2001","PHOENIX AMA","Industrial","Supply","Groundwater","Groundwater","83874"
"2014","PHOENIX AMA","Industrial","Supply","Effluent","Effluent","83809"
"1990","PINAL AMA","Recharge","Natural","","Groundwater Inflow","83760"
"2004","TUCSON AMA","Agricultural","Supply","Groundwater","Groundwater","83733"
"2009","PINAL AMA","Indian","Supply","CAP","CAP","83679"
"1997","PHOENIX AMA","Indian","Supply","Groundwater","Groundwater","83501"
"2007","PINAL AMA","Indian","Supply","CAP","CAP","83476"
"2002","PINAL AMA","Municipal","Population","Municipal","Large Municipal Provider Population","83453"
"2015","PHOENIX AMA","Industrial","Supply","Effluent","Effluent","83425"
"2009","PHOENIX AMA","Indian","Supply","Groundwater","Groundwater","83338"
"2002","PINAL AMA","Recharge","Natural","","Groundwater Inflow","83174"
"2005","PHOENIX AMA","Industrial","Supply","Groundwater","Groundwater","83158"
"2016","PINAL AMA","Indian","Supply","CAP","CAP","82941"
"2015","PINAL AMA","Indian","Supply","CAP","CAP","82699"
