Apple Creek,Domestic,Year,Acre Feet,Acres,,,
Elm,Municipal,1982,403.6,0,,,
Elm,Municipal,1981,375.5,0,,,
Elm,Municipal,1980,423.1,0,,,
Elm,Municipal,1979,458.5,0,,,
Elm,Municipal,1978,457.7,0,,,
Elm,Municipal,1977,408.2,0,,,
Elm,Power Generation,Year,Acre Feet,Acres,,,
Elm,Power Generation,1986,0,0,,,
Elm,Power Generation,1985,24.2,0,,,
Elm,Power Generation,1984,24.3,0,,,
Elm,Power Generation,1983,24.2,0,,,
Elm,Power Generation,1982,0.1,0,,,
Elm,Power Generation,1981,0.5,0,,,
Elm,Power Generation,1980,0.1,0,,,
Elm,Power Generation,1979,0.5,0,,,
Elm,Power Generation,1978,10,0,,,
Elm,Power Generation,1977,8.1,0,,,
Elm-Marsh,Irrigation,Year,Acre Feet,Acres,,,
Elm-Marsh,Irrigation,2019,810,7757,,,
Elm-Marsh,Irrigation,2018,3126.6,10078.4,,,
Elm-Marsh,Irrigation,2017,3107.3,10232.2,,,
Elm-Marsh,Irrigation,2016,2625.1,10376.3,,,
Elm-Marsh,Irrigation,2015,2795.4,10316.3,,,
Elm-Marsh,Irrigation,2014,2909.7,9730,,,
Elm-Marsh,Irrigation,2013,4882.1,9335,,,
Elm-Marsh,Irrigation,2012,4346,9341,,,
Elm-Marsh,Irrigation,2011,635.3,4034,,,
Elm-Marsh,Irrigation,2010,1645.3,8019,,,
Elm-Marsh,Irrigation,2009,3549,9437,,,
Elm-Marsh,Irrigation,2008,3679.5,9332,,,
Elm-Marsh,Irrigation,2007,2796.6,8300,,,
Elm-Marsh,Irrigation,2006,4703.6,9363,,,
Elm-Marsh,Irrigation,2005,1499.7,8099,,,
Elm-Marsh,Irrigation,2004,1196.5,6096,,,
Elm-Marsh,Irrigation,2003,2712.2,9457,,,
Elm-Marsh,Irrigation,2002,1851.8,8805,,,
Elm-Marsh,Irrigation,2001,2221.6,9315,,,
Elm-Marsh,Irrigation,2000,1846.2,9303,,,
Elm-Marsh,Irrigation,1999,1943.8,9451,,,
Elm-Marsh,Irrigation,1998,2826.7,9230,,,
Elm-Marsh,Irrigation,1997,1566.1,8308,,,
Elm-Marsh,Irrigation,1996,1930.2,8436,,,
Elm-Marsh,Irrigation,1995,2047.3,7924,,,
Elm-Marsh,Irrigation,1994,865.2,7220,,,
Elm-Marsh,Irrigation,1993,742.3,5290,,,
Elm-Marsh,Irrigation,1992,2333.8,7907,,,
Elm-Marsh,Irrigation,1991,3672.7,7920,,,
Elm-Marsh,Irrigation,1990,2772.8,7169,,,
Elm-Marsh,Irrigation,1989,3972.4,7189,,,
Elm-Marsh,Irrigation,1988,4464.3,7575,,,
Elm-Marsh,Irrigation,1987,2505.6,7017,,,
Elm-Marsh,Irrigation,1986,2607.6,6755,,,
Elm-Marsh,Irrigation,1985,3124,7212,,,
Elm-Marsh,Irrigation,1984,3734.7,7074,,,
Elm-Marsh,Irrigation,1983,2423,6549,,,
Elm-Marsh,Irrigation,1982,2714.1,6387,,,
Elm-Marsh,Irrigation,1981,2401.2,5154,,,
Elm-Marsh,Irrigation,1980,2430.5,3757.5,,,
Elm-Marsh,Irrigation,1979,1400.6,3216,,,
Elm-Marsh,Irrigation,1978,1392.1,2451,,,
Elm-Marsh,Irrigation,1977,471.7,1636,,,
Elm-Marsh,Municipal,Year,Acre Feet,Acres,,,
Elm-Marsh,Municipal,2019,0,0,,,
Elm-Marsh,Municipal,2018,0.1,0,,,
Elm-Marsh,Municipal,2017,0,0,,,
Elm-Marsh,Municipal,2016,0,0,,,
Elm-Marsh,Municipal,2015,0,0,,,
Elm-Marsh,Municipal,2014,0,0,,,
Elm-Marsh,Municipal,2013,0,0,,,
Elm-Marsh,Municipal,2012,0.5,0,,,
Elm-Marsh,Municipal,2011,0,0,,,
Elm-Marsh,Municipal,2010,0.6,0,,,
Elm-Marsh,Municipal,2009,0.4,0,,,
Elm-Marsh,Municipal,2008,0.7,0,,,
Elm-Marsh,Municipal,2007,0.5,0,,,
Elm-Marsh,Municipal,2006,23.9,0,,,
Elm-Marsh,Municipal,2005,24.9,0,,,
Elm-Marsh,Municipal,2004,28.7,0,,,
Elm-Marsh,Municipal,2003,74.9,0,,,
Elm-Marsh,Municipal,2002,73.3,0,,,
Elm-Marsh,Municipal,2001,73.2,0,,,
Elm-Marsh,Municipal,2000,75,0,,,
Elm-Marsh,Municipal,1999,88.1,0,,,
Elm-Marsh,Municipal,1998,112.5,0,,,
Elm-Marsh,Municipal,1997,95.1,0,,,
Elm-Marsh,Municipal,1996,110.5,0,,,
Elm-Marsh,Municipal,1995,92.9,0,,,
Elm-Marsh,Municipal,1994,90.5,0,,,
Elm-Marsh,Municipal,1993,87.8,0,,,
Elm-Marsh,Municipal,1992,91.7,0,,,
Elm-Marsh,Municipal,1991,102.3,0,,,
Elm-Marsh,Municipal,1990,106.6,0,,,
Elm-Marsh,Municipal,1989,121.4,0,,,
Elm-Marsh,Municipal,1988,127.9,0,,,
Elm-Marsh,Municipal,1987,123.8,0,,,
Elm-Marsh,Municipal,1986,116.7,0,,,
Elm-Marsh,Municipal,1985,113.7,0,,,
Elm-Marsh,Municipal,1984,122,0,,,
Elm-Marsh,Municipal,1983,58.7,0,,,
Elm-Marsh,Municipal,1982,68.5,0,,,
Elm-Marsh,Municipal,1981,25.2,0,,,
Elm-Marsh,Municipal,1980,29.3,0,,,
Elm-Marsh,Municipal,1979,56.3,0,,,
Elm-Marsh,Municipal,1978,56.2,0,,,
Elm-Marsh,Municipal,1977,40.3,0,,,
Elm-Marsh,Rural Water,Year,Acre Feet,Acres,,,
Elm-Marsh,Rural Water,2019,436.4,0,,,
Elm-Marsh,Rural Water,2018,485,0,,,
Elm-Marsh,Rural Water,2017,389.5,0,,,
Elm-Marsh,Rural Water,2016,413.7,0,,,
Elm-Marsh,Rural Water,2015,351.5,0,,,
Elm-Marsh,Rural Water,2014,252.7,0,,,
Elm-Marsh,Rural Water,2013,235.3,0,,,
Elm-Marsh,Rural Water,2012,202.6,0,,,
Elm-Marsh,Rural Water,2011,194.6,0,,,
Elm-Marsh,Rural Water,2010,138.4,0,,,
Elm-Marsh,Rural Water,2009,0,0,,,
Elm-Marsh,Rural Water,2008,0,0,,,
Forest,Domestic,Year,Acre Feet,Acres,,,
Forest,Domestic,2019,39,0,,,
Forest,Domestic,2018,61.7,0,,,
Forest,Domestic,2017,68.4,0,,,
Forest,Domestic,2016,66,0,,,
Forest,Domestic,2015,64.5,0,,,
Forest,Domestic,2014,59.8,0,,,
Forest,Domestic,2013,48.9,0,,,
Forest,Domestic,2012,56.2,0,,,
Forest,Domestic,2011,56,0,,,
Forest,Domestic,2010,54.6,0,,,
Forest,Domestic,2009,47.6,0,,,
Forest,Domestic,2006,54.9,0,,,
Forest,Domestic,2004,20.6,0,,,
Forest,Domestic,2003,20,0,,,
Forest,Domestic,2002,19.9,0,,,
Forest,Domestic,2001,19.6,0,,,
Forest,Domestic,2000,19.6,0,,,
Forest,Domestic,1999,19,0,,,
Forest,Domestic,1998,18.8,0,,,
Forest,Domestic,1997,16.9,0,,,
Forest,Domestic,1996,18,0,,,
Forest,Domestic,1995,18.7,0,,,
Forest,Domestic,1994,18.5,0,,,
Forest,Domestic,1993,18.2,0,,,
Forest,Domestic,1992,19.5,0,,,
Forest,Industrial,Year,Acre Feet,Acres,,,
Forest,Industrial,2019,5.1,0,,,
Forest,Industrial,2018,4.2,0,,,
Forest,Industrial,2017,3.4,0,,,
Forest,Industrial,2016,3.6,0,,,
Forest,Industrial,2015,5.3,0,,,
Forest,Industrial,2014,4.2,0,,,
Forest,Industrial,2013,3.5,0,,,
Forest,Industrial,2012,4.4,0,,,
Forest,Industrial,2011,4.5,0,,,
Forest,Industrial,2010,3.1,0,,,
Forest,Industrial,2009,3,0,,,
Forest,Industrial,2008,5,0,,,
Forest,Industrial,2007,5.7,0,,,
Forest,Industrial,2006,5.5,0,,,
Forest,Industrial,2005,5.5,0,,,
Forest,Industrial,2004,6.7,0,,,
Forest,Industrial,2003,7.8,0,,,
Forest,Industrial,2002,7.7,0,,,
Forest,Industrial,2001,7.8,0,,,
Forest,Industrial,2000,10.8,0,,,
Forest,Industrial,1999,7.3,0,,,
Forest,Industrial,1998,9.6,0,,,
Forest,Industrial,1997,9.2,0,,,
Forest,Industrial,1996,10.2,0,,,
Forest,Industrial,1995,30.9,0,,,
Forest,Industrial,1994,12.1,0,,,
Forest,Industrial,1993,8.5,0,,,
Forest,Industrial,1992,9.2,0,,,
Forest,Industrial,1991,9.4,0,,,
Forest,Industrial,1990,10,0,,,
Forest,Industrial,1989,12.2,0,,,
Forest,Industrial,1988,10.6,0,,,
Forest,Industrial,1987,6.2,0,,,
Forest,Industrial,1986,6.1,0,,,
Forest,Industrial,1985,0,0,,,
Forest,Industrial,1984,0,0,,,
Forest,Industrial,1983,0,0,,,
Forest,Industrial,1982,0,0,,,
Forest,Industrial,1981,0,0,,,
Forest,Industrial,1980,6.6,0,,,
Forest,Industrial,1979,7.5,0,,,
Forest,Industrial,1978,7,0,,,
Forest,Industrial,1977,7.2,0,,,
Forest,Irrigation,Year,Acre Feet,Acres,,,
Forest,Irrigation,2019,1409.5,2777.5,,,
Forest,Irrigation,2018,1588.4,2985.1,,,
Forest,Irrigation,2017,1534.4,2743.1,,,
Forest,Irrigation,2016,998.6,2681.5,,,
Forest,Irrigation,2015,1398.6,2795,,,
Forest,Irrigation,2014,1145.6,2915.8,,,
Forest,Irrigation,2013,1596,2570.4,,,
Forest,Irrigation,2012,1882.9,2553.6,,,
Forest,Irrigation,2011,1311.6,2475.1,,,
Forest,Irrigation,2010,1292.6,2361.8,,,
Forest,Irrigation,2009,1169.1,2228.5,,,
Forest,Irrigation,2008,1319,2177.8,,,
Forest,Irrigation,2007,1229.2,2240.8,,,
Forest,Irrigation,2006,1978.4,2240.8,,,
Forest,Irrigation,2005,1548.8,2240,,,
Forest,Irrigation,2004,1262.1,2241,,,
Forest,Irrigation,2003,1199.9,2192.8,,,
Forest,Irrigation,2002,1168.1,2228.8,,,
Forest,Irrigation,2001,1767.4,2232.8,,,
Forest,Irrigation,2000,1536.2,1949.8,,,
Forest,Irrigation,1999,1061.6,2074.8,,,
Forest,Irrigation,1998,1910,2062,,,
Forest,Irrigation,1997,1240.6,2074,,,
Forest,Irrigation,1996,1360.4,2041,,,
Forest,Irrigation,1995,1209.2,2291,,,
Forest,Irrigation,1994,1302.4,1931,,,
Forest,Irrigation,1993,838.2,1895,,,
Forest,Irrigation,1992,1186.5,1935,,,
Forest,Irrigation,1991,765.9,1802,,,
Forest,Irrigation,1990,1259.8,1655,,,
Forest,Irrigation,1989,1336.7,1419,,,
Forest,Irrigation,1988,1294.9,1161,,,
Forest,Irrigation,1987,798.4,1151,,,
Forest,Irrigation,1986,577.7,913,,,
Forest,Irrigation,1985,477,710,,,
Forest,Irrigation,1984,685.6,678,,,
Forest,Irrigation,1983,409.9,686,,,
Forest,Irrigation,1982,405.4,686,,,
Forest,Irrigation,1981,417.4,670,,,
Forest,Irrigation,1980,556.8,730,,,
Forest,Irrigation,1979,495.9,710,,,
Forest,Irrigation,1978,64.9,75,,,
Forest,Irrigation,1977,469.2,694,,,
Forest,Municipal,Year,Acre Feet,Acres,,,
Forest,Municipal,2019,233.6,0,,,
Forest,Municipal,2018,217,0,,,
Forest,Municipal,2017,230.2,0,,,
Forest,Municipal,2016,213,0,,,
Forest,Municipal,2015,218,0,,,
Forest,Municipal,2014,167.2,0,,,
Forest,Municipal,2013,210.1,0,,,
Forest,Municipal,2012,209.5,0,,,
Forest,Municipal,2011,203,0,,,
Forest,Municipal,2010,202,0,,,
Forest,Municipal,2009,246.7,0,,,
Forest,Municipal,2008,579.1,0,,,
Forest,Municipal,2007,243.4,0,,,
Forest,Municipal,2006,240.5,0,,,
Forest,Municipal,2005,83.7,0,,,
Forest,Municipal,2004,97,0,,,
Forest,Municipal,2003,96.1,0,,,
Forest,Municipal,2002,95.9,0,,,
Forest,Municipal,2001,95.3,0,,,
Forest,Municipal,2000,95.4,0,,,
Forest,Municipal,1999,93.8,0,,,
Forest,Municipal,1998,151.2,0,,,
Forest,Municipal,1997,203.5,0,,,
Forest,Municipal,1996,201.7,0,,,
Forest,Municipal,1995,217.1,0,,,
Forest,Municipal,1994,182.9,0,,,
Forest,Municipal,1993,185.3,0,,,
Forest,Municipal,1992,207.4,0,,,
Forest,Municipal,1991,216.1,0,,,
Forest,Municipal,1990,177.2,0,,,
Forest,Municipal,1989,180.8,0,,,
Forest,Municipal,1988,166.1,0,,,
Forest,Municipal,1987,193,0,,,
Forest,Municipal,1986,168.9,0,,,
Forest,Municipal,1985,166.1,0,,,
Forest,Municipal,1984,178.4,0,,,
Forest,Municipal,1983,185.7,0,,,
Forest,Municipal,1982,156.4,0,,,
Forest,Municipal,1981,150.5,0,,,
Forest,Municipal,1980,156.3,0,,,
Forest,Municipal,1979,159.7,0,,,
Forest,Municipal,1978,210.6,0,,,
Forest,Municipal,1977,50.4,0,,,
Forest,Rural Water,Year,Acre Feet,Acres,,,
Forest,Rural Water,2019,544.5,0,,,
Forest,Rural Water,2018,700.4,0,,,
Forest,Rural Water,2017,717.8,0,,,
Forest,Rural Water,2016,689.6,0,,,
Forest,Rural Water,2015,747.9,0,,,
Forest,Rural Water,2014,794.1,0,,,
Forest,Rural Water,2013,797.4,0,,,
Forest,Rural Water,2012,861.8,0,,,
Forest,Rural Water,2011,514.9,0,,,
Forest,Rural Water,2010,379.7,0,,,
Forest,Rural Water,2009,800.8,0,,,
Forest,Rural Water,2008,523.8,0,,,
Forest,Rural Water,2007,807.1,0,,,
Forest,Rural Water,2006,840.7,0,,,
Forest,Rural Water,2005,836.1,0,,,
Forest,Rural Water,2004,849,0,,,
Forest,Rural Water,2003,830.8,0,,,
Forest,Rural Water,2002,839,0,,,
Forest,Rural Water,2001,847,0,,,
Forest,Rural Water,2000,881,0,,,
Forest,Rural Water,1999,869.1,0,,,
Forest,Rural Water,1998,895.9,0,,,
Forest,Rural Water,1997,875,0,,,
Forest,Rural Water,1996,886.8,0,,,
Forest,Rural Water,1995,886.5,0,,,
Forest,Rural Water,1994,839.2,0,,,
Forest,Rural Water,1993,776.5,0,,,
Forest,Rural Water,1992,913.8,0,,,
Forest,Rural Water,1991,756.5,0,,,
Forest,Rural Water,1990,675,0,,,
Forest,Rural Water,1989,678.8,0,,,
Forest,Rural Water,1988,710,0,,,
Forest,Rural Water,1987,664.5,0,,,
Forest,Rural Water,1986,621.8,0,,,
Forest,Rural Water,1985,606.6,0,,,
Forest,Rural Water,1984,649.2,0,,,
Forest,Rural Water,1983,657.7,0,,,
Forest,Rural Water,1982,599.7,0,,,
Forest,Rural Water,1981,478.9,0,,,
Forest,Rural Water,1980,470.7,0,,,
Forest,Rural Water,1979,302.6,0,,,
Forest,Rural Water,1978,409.6,0,,,
Forest,Rural Water,1977,361.6,0,,,
Goose,Industrial,Year,Acre Feet,Acres,,,
Goose,Industrial,2019,0.1,0,,,
Goose,Industrial,2018,0.1,0,,,
Goose,Industrial,2017,0.1,0,,,
Goose,Industrial,2016,0.1,0,,,
Goose,Industrial,2015,0.1,0,,,
Goose,Industrial,2014,0.1,0,,,
Goose,Industrial,2013,0.1,0,,,
Goose,Industrial,2012,0.1,0,,,
Goose,Industrial,2011,0.2,0,,,
Goose,Industrial,2010,0.2,0,,,
Goose,Industrial,2009,0.3,0,,,
Goose,Industrial,2008,0.1,0,,,
Goose,Irrigation,Year,Acre Feet,Acres,,,
Goose,Irrigation,2019,381.8,2989,,,
Goose,Irrigation,2018,2563.7,6373.6,,,
Goose,Irrigation,2017,2929.2,6346.2,,,
Goose,Irrigation,2016,1797.7,5833.8,,,
Goose,Irrigation,2015,1048.4,5543.1,,,
Goose,Irrigation,2014,1033.8,3657.1,,,
Goose,Irrigation,2013,1725.7,3242,,,
Goose,Irrigation,2012,1529.5,3159.5,,,
Goose,Irrigation,2011,38.1,974,,,
Goose,Irrigation,2010,461.7,2895,,,
Goose,Irrigation,2009,906.6,3387,,,
Goose,Irrigation,2008,668.3,3159.9,,,
Goose,Irrigation,2007,462.9,3042,,,
Goose,Irrigation,2006,1726.9,3042,,,
Goose,Irrigation,2005,891.5,3785,,,
Goose,Irrigation,2004,182.1,1253,,,
Goose,Irrigation,2003,1195.1,3785,,,
Goose,Irrigation,2002,282.5,2238,,,
Goose,Irrigation,2001,931.3,3327,,,
Goose,Irrigation,2000,806.2,3442,,,
Goose,Irrigation,1999,1074.3,3279,,,
Goose,Irrigation,1998,1522.1,3825,,,
Goose,Irrigation,1997,798.1,3821,,,
Goose,Irrigation,1996,1134.4,3510.9,,,
Goose,Irrigation,1995,835.2,2923,,,
Goose,Irrigation,1994,353.9,3135,,,
Goose,Irrigation,1993,571,2615,,,
Goose,Irrigation,1992,861.8,3150,,,
Goose,Irrigation,1991,1589.8,3183,,,
Goose,Irrigation,1990,1444.7,2915,,,
Goose,Irrigation,1989,1677.8,2782,,,
Goose,Irrigation,1988,1715.4,2634,,,
Goose,Irrigation,1987,840.9,2438,,,
Goose,Irrigation,1986,797.5,2110.6,,,
Goose,Irrigation,1985,914.2,1968,,,
Goose,Irrigation,1984,970.5,1768,,,
Goose,Irrigation,1983,664.2,1501,,,
Goose,Irrigation,1982,633.2,1399,,,
Goose,Irrigation,1981,561.7,532.7,,,
Goose,Irrigation,1980,739.3,924,,,
Goose,Irrigation,1979,380.8,799,,,
Goose,Irrigation,1978,318.9,528,,,
Goose,Irrigation,1977,213.6,528,,,
Goose,Municipal,Year,Acre Feet,Acres,,,
Goose,Municipal,2019,2.5,0,,,
Goose,Municipal,2018,3.3,0,,,
Goose,Municipal,2017,2.6,0,,,
Goose,Municipal,2016,2.2,0,,,
Goose,Municipal,2015,1.9,0,,,
Goose,Municipal,2014,3.1,0,,,
Goose,Municipal,2013,167.7,0,,,
Goose,Municipal,2012,189.4,0,,,
Goose,Municipal,2011,210,0,,,
Goose,Municipal,2010,232.8,0,,,
Goose,Municipal,2009,224.7,0,,,
Goose,Municipal,2008,229.4,0,,,
Goose,Municipal,2007,233.5,0,,,
Goose,Municipal,2006,0.5,0,,,
Goose,Municipal,2005,219.4,0,,,
Goose,Municipal,2004,225.2,0,,,
Goose,Municipal,2003,206.5,0,,,
Goose,Municipal,2002,209.9,0,,,
Goose,Municipal,2001,197.3,0,,,
Goose,Municipal,2000,230.1,0,,,
Goose,Municipal,1999,210.9,0,,,
Goose,Municipal,1998,214.8,0,,,
Goose,Municipal,1997,306,0,,,
Goose,Municipal,1996,313.5,0,,,
Goose,Municipal,1995,298.5,0,,,
Goose,Municipal,1994,306.3,0,,,
Goose,Municipal,1993,319.1,0,,,
Goose,Municipal,1992,329,0,,,
Goose,Municipal,1991,371.9,0,,,
Goose,Municipal,1990,370,0,,,
Goose,Municipal,1989,441,0,,,
Goose,Municipal,1988,332.2,0,,,
Goose,Municipal,1987,399.2,0,,,
Goose,Municipal,1986,463.4,0,,,
Goose,Municipal,1985,361,0,,,
Goose,Municipal,1984,399.5,0,,,
Goose,Municipal,1983,276.3,0,,,
Goose,Municipal,1982,189.5,0,,,
Goose,Municipal,1981,197.4,0,,,
Goose,Municipal,1980,209.1,0,,,
Goose,Municipal,1979,351.8,0,,,
Goose,Municipal,1978,338.4,0,,,
Goose,Municipal,1977,533.9,0,,,
Goose,Rural Water,Year,Acre Feet,Acres,,,
Goose,Rural Water,2019,390.4,0,,,
Goose,Rural Water,2018,501.6,0,,,
Goose,Rural Water,2017,490.5,0,,,
Goose,Rural Water,2016,477.6,0,,,
Goose,Rural Water,2015,516.4,0,,,
Goose,Rural Water,2014,669.1,0,,,
Goose,Rural Water,2013,508,0,,,
Goose,Rural Water,2012,436.6,0,,,
Goose,Rural Water,2011,296.2,0,,,
Goose,Rural Water,2010,430.7,0,,,
Goose,Rural Water,2009,404.6,0,,,
Goose,Rural Water,2008,328.1,0,,,
Goose,Rural Water,2006,405.2,0,,,
Goose,Rural Water,2005,403.6,0,,,
Goose,Rural Water,2004,485.4,0,,,
Goose,Rural Water,2003,507.4,0,,,
Goose,Rural Water,2002,502,0,,,
Goose,Rural Water,2001,460,0,,,
Goose,Rural Water,2000,464.8,0,,,
Goose,Rural Water,1999,442.1,0,,,
Goose,Rural Water,1998,433.3,0,,,
Goose,Rural Water,1997,432,0,,,
Goose,Rural Water,1996,411.4,0,,,
Goose,Rural Water,1995,450.5,0,,,
Goose,Rural Water,1994,418.9,0,,,
Goose,Rural Water,1993,392.5,0,,,
Goose,Rural Water,1992,333.8,0,,,
Goose,Rural Water,1991,326.5,0,,,
Goose,Rural Water,1990,159.2,0,,,
Goose,Rural Water,1989,340.4,0,,,
Goose,Rural Water,1988,348.9,0,,,
Goose,Rural Water,1987,348,0,,,
Goose,Rural Water,1986,239.7,0,,,
Goose,Rural Water,1985,306.6,0,,,
Goose,Rural Water,1984,232.5,0,,,
Goose,Rural Water,1983,285.4,0,,,
Goose,Rural Water,1982,217.9,0,,,
Goose,Rural Water,1981,250.1,0,,,
Goose,Rural Water,1980,253.5,0,,,
Goose,Rural Water,1979,186,0,,,
Goose,Rural Water,1978,190.3,0,,,
Goose,Rural Water,1977,168,0,,,
Grand,Irrigation,Year,Acre Feet,Acres,,,
Grand,Irrigation,2019,0,0,,,
Grand,Municipal,Year,Acre Feet,Acres,,,
Grand,Municipal,2019,0,0,,,
Grand,Municipal,2018,0.2,0,,,
Grand,Municipal,2017,0,0,,,
Grand,Municipal,2016,0.2,0,,,
Grand,Municipal,2015,0.3,0,,,
Grand,Municipal,2014,0.3,0,,,
Grand,Municipal,2013,0.4,0,,,
Grand,Municipal,2012,0.3,0,,,
Grand,Municipal,2011,0,0,,,
Grand,Municipal,2010,0,0,,,
Grand,Municipal,2009,0,0,,,
Grand,Municipal,2008,0,0,,,
Grand,Municipal,2007,0.1,0,,,
Grand,Municipal,2006,0,0,,,
Grand,Municipal,2005,0,0,,,
Grand,Municipal,2004,0,0,,,
Grand,Municipal,2003,0,0,,,
Grand,Municipal,2002,0,0,,,
Grand,Municipal,2001,0,0,,,
Grand,Municipal,2000,0,0,,,
Grand,Municipal,1999,0,0,,,
Grand,Municipal,1998,0.1,0,,,
Grand,Municipal,1997,171.4,0,,,
Grand,Municipal,1996,162.6,0,,,
Grand,Municipal,1995,190.4,0,,,
Grand,Municipal,1994,215.8,0,,,
Grand,Municipal,1993,196,0,,,
Grand,Municipal,1992,221,0,,,
Grand,Municipal,1991,228.3,0,,,
Grand,Municipal,1990,304.4,0,,,
Grand,Municipal,1989,245,0,,,
Grand,Municipal,1988,230.1,0,,,
Grand,Municipal,1987,220.9,0,,,
Grand,Municipal,1986,242.9,0,,,
Grand,Municipal,1985,210.6,0,,,
Grand,Municipal,1984,201.1,0,,,
Grand,Municipal,1983,211.1,0,,,
Grand,Municipal,1982,198.5,0,,,
Grand,Municipal,1980,101.1,0,,,
Grand,Municipal,1979,101,0,,,
Grand,Municipal,1978,0,0,,,
Grand,Municipal,1977,202.2,0,,,
Grand,Rural Water,Year,Acre Feet,Acres,,,
Grand,Rural Water,1985,0.8,0,,,
Grand,Rural Water,1984,0.9,0,,,
Grand,Rural Water,1983,0.9,0,,,
Grand,Rural Water,1982,0.8,0,,,
Grand,Rural Water,1981,0.9,0,,,
Grand,Rural Water,1980,0.9,0,,,
Grand,Rural Water,1979,0,0,,,
Grand Marais-Red,Industrial,Year,Acre Feet,Acres,,,
Grand Marais-Red,Industrial,1993,0,0,,,
Grand Marais-Red,Industrial,1992,0,0,,,
Grand Marais-Red,Industrial,1991,0,0,,,
Grand Marais-Red,Industrial,1990,0,0,,,
Grand Marais-Red,Industrial,1989,0,0,,,
Grand Marais-Red,Industrial,1988,0,0,,,
Grand Marais-Red,Industrial,1987,0,0,,,
Grand Marais-Red,Industrial,1986,0.1,0,,,
Grand Marais-Red,Industrial,1985,0.1,0,,,
Grand Marais-Red,Industrial,1984,0.1,0,,,
Grand Marais-Red,Industrial,1983,0,0,,,
Grand Marais-Red,Industrial,1982,0,0,,,
Grand Marais-Red,Industrial,1981,0.2,0,,,
Grand Marais-Red,Industrial,1980,0,0,,,
Grand Marais-Red,Industrial,1979,3.9,0,,,
Grand Marais-Red,Industrial,1978,1.7,0,,,
Grand Marais-Red,Industrial,1977,0,0,,,
Headwaters Souris River,Industrial,Year,Acre Feet,Acres,,,
Headwaters Souris River,Industrial,2019,0.3,0,,,
Headwaters Souris River,Industrial,2018,0,0,,,
Headwaters Souris River,Industrial,2017,0,0,,,
Headwaters Souris River,Industrial,2016,1,0,,,
Headwaters Souris River,Industrial,2015,0,0,,,
Headwaters Souris River,Industrial,2014,0,0,,,
Headwaters Souris River,Industrial,2013,1.6,0,,,
Headwaters Souris River,Industrial,2012,9.4,0,,,
Headwaters Souris River,Industrial,2011,10.4,0,,,
Headwaters Souris River,Industrial,2010,9.4,0,,,
Headwaters Souris River,Industrial,2009,0,0,,,
Headwaters Souris River,Industrial,2008,4,0,,,
Headwaters Souris River,Industrial,2007,3.7,0,,,
Headwaters Souris River,Industrial,2006,13.6,0,,,
Headwaters Souris River,Industrial,2005,33,0,,,
Headwaters Souris River,Industrial,2004,43.5,0,,,
Headwaters Souris River,Industrial,2003,59,0,,,
Headwaters Souris River,Industrial,2002,61.5,0,,,
Headwaters Souris River,Industrial,2001,61.2,0,,,
Headwaters Souris River,Industrial,2000,30.1,0,,,
Headwaters Souris River,Industrial,1999,62.5,0,,,
Headwaters Souris River,Industrial,1998,84.3,0,,,
Headwaters Souris River,Industrial,1997,36.7,0,,,
Headwaters Souris River,Industrial,1984,0,0,,,
Headwaters Souris River,Industrial,1983,0,0,,,
Headwaters Souris River,Industrial,1982,0,0,,,
Headwaters Souris River,Industrial,1981,0,0,,,
Headwaters Souris River,Industrial,1980,0,0,,,
Headwaters Souris River,Industrial,1979,15.9,0,,,
Headwaters Souris River,Industrial,1978,54.6,0,,,
Headwaters Souris River,Industrial,1977,0,0,,,
Headwaters Souris River,Municipal,Year,Acre Feet,Acres,,,
Headwaters Souris River,Municipal,2016,0,0,,,
Headwaters Souris River,Municipal,2015,0,0,,,
Headwaters Souris River,Municipal,2014,0,0,,,
Headwaters Souris River,Municipal,2013,22.7,0,,,
Headwaters Souris River,Municipal,2012,24.8,0,,,
Headwaters Souris River,Municipal,2011,21.8,0,,,
Headwaters Souris River,Municipal,2010,21.1,0,,,
Headwaters Souris River,Municipal,2009,20.7,0,,,
Headwaters Souris River,Municipal,2008,20.7,0,,,
Headwaters Souris River,Municipal,2007,13.8,0,,,
Headwaters Souris River,Municipal,2006,13.8,0,,,
Headwaters Souris River,Municipal,2005,14.1,0,,,
Headwaters Souris River,Municipal,2004,12.5,0,,,
Headwaters Souris River,Municipal,2003,23.7,0,,,
Headwaters Souris River,Municipal,2002,15.2,0,,,
Headwaters Souris River,Municipal,2001,22.8,0,,,
Headwaters Souris River,Municipal,2000,18.4,0,,,
Headwaters Souris River,Municipal,1999,19,0,,,
Headwaters Souris River,Municipal,1998,23,0,,,
Headwaters Souris River,Municipal,1997,28.5,0,,,
Headwaters Souris River,Municipal,1996,27.2,0,,,
Headwaters Souris River,Municipal,1995,22,0,,,
Headwaters Souris River,Municipal,1994,26.6,0,,,
Headwaters Souris River,Municipal,1993,22.2,0,,,
Headwaters Souris River,Municipal,1992,23.5,0,,,
Headwaters Souris River,Municipal,1991,25.1,0,,,
Headwaters Souris River,Municipal,1990,27.3,0,,,
Headwaters Souris River,Municipal,1989,38,0,,,
Headwaters Souris River,Municipal,1988,47.9,0,,,
Headwaters Souris River,Municipal,1987,31.9,0,,,
Headwaters Souris River,Municipal,1986,35,0,,,
Headwaters Souris River,Municipal,1985,5.2,0,,,
